Origin ZIP,Origin Neighborhood,Destination ZIP,Destination Neighborhood,Mode,Distance (mi),Duration (min)
11205,"Fort Greene, Clinton Hill",11236,"Canarsie, Bergen Beach",driving,6.6,34
11205,"Fort Greene, Clinton Hill",11236,"Canarsie, Bergen Beach",bicycling,6.7,40
11205,"Fort Greene, Clinton Hill",11238,"Prospect Heights, Clinton Hill",driving,1.7,10
11205,"Fort Greene, Clinton Hill",11238,"Prospect Heights, Clinton Hill",bicycling,1.5,11
11205,"Fort Greene, Clinton Hill",11239,Starrett City,driving,6.8,35
11205,"Fort Greene, Clinton Hill",11239,Starrett City,bicycling,7.5,44
11206,"Williamsburg, Bushwick",11201,"Brooklyn Heights, DUMBO",driving,4.9,25
11206,"Williamsburg, Bushwick",11201,"Brooklyn Heights, DUMBO",bicycling,3.0,20
11206,"Williamsburg, Bushwick",11203,"East Flatbush, Erasmus",driving,4.3,25
11206,"Williamsburg, Bushwick",11203,"East Flatbush, Erasmus",bicycling,4.7,30
11206,"Williamsburg, Bushwick",11204,"Bensonhurst, Mapleton",driving,10.8,41
11206,"Williamsburg, Bushwick",11204,"Bensonhurst, Mapleton",bicycling,8.7,50
11206,"Williamsburg, Bushwick",11205,"Fort Greene, Clinton Hill",driving,1.5,11
11206,"Williamsburg, Bushwick",11205,"Fort Greene, Clinton Hill",bicycling,1.5,10
11206,"Williamsburg, Bushwick",11207,"East New York, Cypress Hills",driving,4.1,26
11206,"Williamsburg, Bushwick",11207,"East New York, Cypress Hills",bicycling,5.1,30
11206,"Williamsburg, Bushwick",11208,"Cypress Hills, East New York",driving,5.2,29
11206,"Williamsburg, Bushwick",11208,"Cypress Hills, East New York",bicycling,5.8,34
11206,"Williamsburg, Bushwick",11209,Bay Ridge,driving,10.6,36
11206,"Williamsburg, Bushwick",11209,Bay Ridge,bicycling,9.1,53
11206,"Williamsburg, Bushwick",11210,"Flatbush, Midwood",driving,5.8,34
11206,"Williamsburg, Bushwick",11210,"Flatbush, Midwood",bicycling,6.4,40
11206,"Williamsburg, Bushwick",11211,Williamsburg,driving,2.2,13
11206,"Williamsburg, Bushwick",11211,Williamsburg,bicycling,1.2,7
11206,"Williamsburg, Bushwick",11212,Brownsville,driving,4.0,23
11206,"Williamsburg, Bushwick",11212,Brownsville,bicycling,4.0,26
11206,"Williamsburg, Bushwick",11213,Crown Heights,driving,2.4,14
11206,"Williamsburg, Bushwick",11213,Crown Heights,bicycling,2.9,20
11206,"Williamsburg, Bushwick",11214,"Bensonhurst, Bath Beach",driving,11.6,41
11206,"Williamsburg, Bushwick",11214,"Bensonhurst, Bath Beach",bicycling,9.7,55
11206,"Williamsburg, Bushwick",11215,"Park Slope, Gowanus",driving,5.4,29
11206,"Williamsburg, Bushwick",11215,"Park Slope, Gowanus",bicycling,4.5,29
11206,"Williamsburg, Bushwick",11216,"Bedford-Stuyvesant, Crown Heights",driving,2.6,16
11206,"Williamsburg, Bushwick",11216,"Bedford-Stuyvesant, Crown Heights",bicycling,2.5,18
11206,"Williamsburg, Bushwick",11217,"Park Slope, Boerum Hill",driving,3.8,24
